日時,平均検知人数,定時検知人数
2022/10/23 11:29,0,0
2022/10/23 11:30,0,0
2022/10/23 11:31,0,0
2022/10/23 11:32,0,0
2022/10/23 11:33,0,0
2022/10/23 11:34,0,0
2022/10/23 11:35,1,0
2022/10/23 11:36,0,0
2022/10/23 11:37,1,1
2022/10/23 11:38,0,0
2022/10/23 11:39,0,0
2022/10/23 11:40,0,0
2022/10/23 11:41,1,1
2022/10/23 11:42,0,0
2022/10/23 11:43,0,0
2022/10/23 11:44,0,0
2022/10/23 11:45,0,1
2022/10/23 11:46,1,0
2022/10/23 11:47,0,2
2022/10/23 11:48,0,0
2022/10/23 11:49,0,0
2022/10/23 11:50,1,0
2022/10/23 11:51,1,1
2022/10/23 11:52,0,0
2022/10/23 11:53,0,0
2022/10/23 11:54,1,0
2022/10/23 11:55,1,1
2022/10/23 11:56,0,0
2022/10/23 11:57,0,0
2022/10/23 11:58,0,0
2022/10/23 11:59,1,2
2022/10/23 12:00,1,1
2022/10/23 12:01,1,0
2022/10/23 12:02,0,1
2022/10/23 12:03,0,1
2022/10/23 12:04,1,0
2022/10/23 12:05,0,1
2022/10/23 12:06,0,0
2022/10/23 12:07,0,1
2022/10/23 12:08,0,0
2022/10/23 12:09,0,0
2022/10/23 12:10,1,1
2022/10/23 12:11,0,0
2022/10/23 12:12,0,0
2022/10/23 12:13,0,1
2022/10/23 12:14,0,0
2022/10/23 12:15,0,0
2022/10/23 12:16,0,0
2022/10/23 12:17,0,0
2022/10/23 12:18,2,2
2022/10/23 12:19,2,1
2022/10/23 12:20,1,2
2022/10/23 12:21,1,1
2022/10/23 12:22,0,1
2022/10/23 12:23,0,1
2022/10/23 12:24,0,2
2022/10/23 12:25,0,0
2022/10/23 12:26,0,0
2022/10/23 12:27,0,0
2022/10/23 12:28,0,0
2022/10/23 12:29,1,1
2022/10/23 12:30,0,1
2022/10/23 12:31,1,0
2022/10/23 12:32,0,0
2022/10/23 12:33,0,0
2022/10/23 12:34,0,0
2022/10/23 12:35,0,0
2022/10/23 12:36,0,0
2022/10/23 12:37,0,0
2022/10/23 12:38,0,1
2022/10/23 12:39,0,0
2022/10/23 12:40,0,0
2022/10/23 12:41,1,0
2022/10/23 12:42,0,0
2022/10/23 12:43,1,3
2022/10/23 12:44,1,1
2022/10/23 12:45,0,0
2022/10/23 12:46,0,0
2022/10/23 12:47,0,0
2022/10/23 12:48,0,0
2022/10/23 12:49,0,0
2022/10/23 12:50,0,0
2022/10/23 12:51,1,1
2022/10/23 12:52,0,0
2022/10/23 12:53,0,0
2022/10/23 12:54,0,0
2022/10/23 12:55,0,0
2022/10/23 12:56,0,0
2022/10/23 12:57,0,0
2022/10/23 12:58,0,0
2022/10/23 12:59,1,0
2022/10/23 13:00,0,0
2022/10/23 13:01,0,0
2022/10/23 13:02,0,0
2022/10/23 13:03,1,0
2022/10/23 13:04,1,1
2022/10/23 13:05,1,1
2022/10/23 13:06,1,2
2022/10/23 13:07,1,1
2022/10/23 13:08,1,2
